,TgtCndMovDirectStatusFlg,TgtCndGndVelLong,TgtCndGndVelLat,TgtCndAbsHdAng,TgtCndConf,InitEnableFlg
0,Default,Stop,Stop,0,VALID,VALID
1,Default,Stop,Stop,0,VALID,INVALID
2,Default,Stop,Stop,0,INVALID,VALID
3,Default,Stop,Stop,0,INVALID,INVALID
4,Default,Stop,Stop,(dx),VALID,VALID
5,Default,Stop,Stop,(dx),VALID,INVALID
6,Default,Stop,Stop,(dx),INVALID,VALID
7,Default,Stop,Stop,(dx),INVALID,INVALID
8,Default,Stop,Stop,(dy),VALID,VALID
9,Default,Stop,Stop,(dy),VALID,INVALID
10,Default,Stop,Stop,(dy),INVALID,VALID
11,Default,Stop,Stop,(dy),INVALID,INVALID
12,Default,Stop,Stop,(dy/dx) 40deg down,VALID,VALID
13,Default,Stop,Stop,(dy/dx) 40deg down,VALID,INVALID
14,Default,Stop,Stop,(dy/dx) 40deg down,INVALID,VALID
15,Default,Stop,Stop,(dy/dx) 40deg down,INVALID,INVALID
16,Default,Stop,Stop,(dy/dx) 40deg up,VALID,VALID
17,Default,Stop,Stop,(dy/dx) 40deg up,VALID,INVALID
18,Default,Stop,Stop,(dy/dx) 40deg up,INVALID,VALID
19,Default,Stop,Stop,(dy/dx) 40deg up,INVALID,INVALID
20,Default,Stop,Stop,(dy/dx) 50deg down,VALID,VALID
21,Default,Stop,Stop,(dy/dx) 50deg down,VALID,INVALID
22,Default,Stop,Stop,(dy/dx) 50deg down,INVALID,VALID
23,Default,Stop,Stop,(dy/dx) 50deg down,INVALID,INVALID
24,Default,Stop,Stop,(dy/dx) 50deg up,VALID,VALID
25,Default,Stop,Stop,(dy/dx) 50deg up,VALID,INVALID
26,Default,Stop,Stop,(dy/dx) 50deg up,INVALID,VALID
27,Default,Stop,Stop,(dy/dx) 50deg up,INVALID,INVALID
28,Default,Stop,(+-) 1.38mps up,0,VALID,VALID
29,Default,Stop,(+-) 1.38mps up,0,VALID,INVALID
30,Default,Stop,(+-) 1.38mps up,0,INVALID,VALID
31,Default,Stop,(+-) 1.38mps up,0,INVALID,INVALID
32,Default,Stop,(+-) 1.38mps up,(dx),VALID,VALID
33,Default,Stop,(+-) 1.38mps up,(dx),VALID,INVALID
34,Default,Stop,(+-) 1.38mps up,(dx),INVALID,VALID
35,Default,Stop,(+-) 1.38mps up,(dx),INVALID,INVALID
36,Default,Stop,(+-) 1.38mps up,(dy),VALID,VALID
37,Default,Stop,(+-) 1.38mps up,(dy),VALID,INVALID
38,Default,Stop,(+-) 1.38mps up,(dy),INVALID,VALID
39,Default,Stop,(+-) 1.38mps up,(dy),INVALID,INVALID
40,Default,Stop,(+-) 1.38mps up,(dy/dx) 40deg down,VALID,VALID
41,Default,Stop,(+-) 1.38mps up,(dy/dx) 40deg down,VALID,INVALID
42,Default,Stop,(+-) 1.38mps up,(dy/dx) 40deg down,INVALID,VALID
43,Default,Stop,(+-) 1.38mps up,(dy/dx) 40deg down,INVALID,INVALID
44,Default,Stop,(+-) 1.38mps up,(dy/dx) 40deg up,VALID,VALID
45,Default,Stop,(+-) 1.38mps up,(dy/dx) 40deg up,VALID,INVALID
46,Default,Stop,(+-) 1.38mps up,(dy/dx) 40deg up,INVALID,VALID
47,Default,Stop,(+-) 1.38mps up,(dy/dx) 40deg up,INVALID,INVALID
48,Default,Stop,(+-) 1.38mps up,(dy/dx) 50deg down,VALID,VALID
49,Default,Stop,(+-) 1.38mps up,(dy/dx) 50deg down,VALID,INVALID
50,Default,Stop,(+-) 1.38mps up,(dy/dx) 50deg down,INVALID,VALID
51,Default,Stop,(+-) 1.38mps up,(dy/dx) 50deg down,INVALID,INVALID
52,Default,Stop,(+-) 1.38mps up,(dy/dx) 50deg up,VALID,VALID
53,Default,Stop,(+-) 1.38mps up,(dy/dx) 50deg up,VALID,INVALID
54,Default,Stop,(+-) 1.38mps up,(dy/dx) 50deg up,INVALID,VALID
55,Default,Stop,(+-) 1.38mps up,(dy/dx) 50deg up,INVALID,INVALID
56,Default,Stop,(+-) 1.38mps down,0,VALID,VALID
57,Default,Stop,(+-) 1.38mps down,0,VALID,INVALID
58,Default,Stop,(+-) 1.38mps down,0,INVALID,VALID
59,Default,Stop,(+-) 1.38mps down,0,INVALID,INVALID
60,Default,Stop,(+-) 1.38mps down,(dx),VALID,VALID
61,Default,Stop,(+-) 1.38mps down,(dx),VALID,INVALID
62,Default,Stop,(+-) 1.38mps down,(dx),INVALID,VALID
63,Default,Stop,(+-) 1.38mps down,(dx),INVALID,INVALID
64,Default,Stop,(+-) 1.38mps down,(dy),VALID,VALID
65,Default,Stop,(+-) 1.38mps down,(dy),VALID,INVALID
66,Default,Stop,(+-) 1.38mps down,(dy),INVALID,VALID
67,Default,Stop,(+-) 1.38mps down,(dy),INVALID,INVALID
